"","clade","clock","n","mean","sd","min","Q1","median","Q3","max"
"1","Dipnomorpha","",8,0.555,0.294,0.176,0.353,0.533,0.788,0.946
"2","Elpisostegalia","",14,0.873,0.264,0.419,0.694,0.813,0.993,1.321
"3","Osteolepididae","",11,0.206,0.103,0.03,0.143,0.202,0.28,0.354
"4","Rhizodontidae","",14,0.16,0.136,0.002,0.034,0.169,0.276,0.371
"5","Tristichopteridae","",21,0.358,0.418,0.035,0.088,0.163,0.311,1.292
"6","Other","",11,0.39,0.253,0.188,0.238,0.255,0.45,1
