clade,nodes,rates1,rates2,rates3,rates4
EarlyStemPenguins,48,0.010174978,0.010915255,0.045631789,0.047212935
EarlyStemPenguins,49,0.010492995,0.012072588,0.045191326,0.033798578
EarlyStemPenguins,108,0.009366597,0.012579245,0.043725714,0.031400955
EarlyStemPenguins,50,0.009723948,0.011270638,0.045632002,0.032353741
EarlyStemPenguins,107,0.008567671,0.011631297,0.045459798,0.033889257
EarlyStemPenguins,106,0.009653613,0.012000348,0.045686185,0.030750574
EarlyStemPenguins,105,0.008341885,0.012301097,0.044691431,0.033259671
EarlyStemPenguins,51,0.010587169,0.011755696,0.045467267,0.026425791
EarlyStemPenguins,104,0.008623833,0.01146344,0.04438474,0.034828103
EarlyStemPenguins,52,0.011588338,0.011516243,0.044647541,0.032153719
EarlyStemPenguins,103,0.010751698,0.011668719,0.046636338,0.032425426
EarlyStemPenguins,60,0.02083762,0.011728658,0.045497618,0.032852656
EarlyStemPenguins,53,0.011398927,0.011485239,0.045402658,0.032680125
EarlyStemPenguins,59,0.01248127,0.011660917,0.046121267,0.032598639
EarlyStemPenguins,57,0.035149044,0.011697813,0.045750439,0.031920506
EarlyStemPenguins,54,0.011300425,0.011344956,0.045731833,0.032603839
EarlyStemPenguins,55,0.010049647,0.011286511,0.045016498,0.032574902
EarlyStemPenguins,109,0.013901959,0.011190241,0.045022676,0.029848795
